"Transaction Type","Date","Amount Debited","Debit Currency","Amount Credited","Credit Currency","Buy / Sell Rate","Direction","Spot Rate","Source / Destination","Blockchain Transaction ID"
"peer transfer","2020-06-29T03:41:31+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-29T04:29:53+00",,,0.0000012,"BTC",,"credit","42877.7794",,
"peer transfer","2020-06-29T04:30:04+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-29T06:01:14+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-30T08:36:22+00",,,0.0000013,"BTC",,"credit","43688.8945",,
"peer transfer","2020-06-30T08:36:30+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-30T08:36:42+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-02T01:14:40+00",,,0.0000014,"BTC",,"credit","41841.1445",,
"peer transfer","2020-07-02T01:14:48+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-02T02:32:06+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-03T05:14:05+00",,,0.000001,"BTC",,"credit","41492.0861",,
"peer transfer","2020-07-03T05:14:16+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-04T05:20:33+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-04T05:57:37+00",,,0.0000011,"BTC",,"credit","43455.5871",,
"peer transfer","2020-07-04T05:57:47+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-04T06:09:47+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-05T08:05:08+00",,,0.0000012,"BTC",,"credit","42182.3407",,
"peer transfer","2020-07-05T08:05:22+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-05T08:07:41+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-08T07:19:19+00",,,0.000001,"BTC",,"credit","41614.1083",,
"peer transfer","2020-07-08T07:19:29+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-08T07:29:53+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-09T04:11:05+00",,,0.0000011,"BTC",,"credit","41432.5015",,
"peer transfer","2020-07-09T04:11:17+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-09T04:42:42+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-15T06:09:42+00",,,0.000001,"BTC",,"credit","40781.0928",,
"peer transfer","2020-07-15T06:10:00+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-15T06:14:11+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-18T20:55:10+00",,,0.000001,"BTC",,"credit","39981.9495",,
"peer transfer","2020-07-18T20:55:20+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-18T22:09:04+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-20T21:13:06+00",,,0.000001,"BTC",,"credit","37714.9263",,
"peer transfer","2020-07-20T21:13:16+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-21T10:52:37+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-25T06:14:15+00",,,0.000001,"BTC",,"credit","43287.7305",,
"peer transfer","2020-07-25T06:14:27+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-25T06:14:55+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-27T08:01:45+00",,,0.000001,"BTC",,"credit","46757.1161",,
"peer transfer","2020-07-27T08:02:09+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-07-27T08:09:47+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-07-30T04:19:50+00",,,0.000001,"BTC",,"credit","49681.1893",,
"shakingsats","2020-08-15T08:01:46+00",,,0.000001,"BTC",,"credit","57139.3080",,
"fiat funding","2020-08-27T22:49:30+00",,,800,"CAD",,"credit",,"test@gmail.com",
"fiat funding","2020-08-27T23:22:05+00",,,800,"CAD",,"credit",,"test@gmail.com",
"shakingsats","2020-08-27T23:22:58+00",,,0.000001,"BTC",,"credit","61757.1745",,
"purchase/sale","2020-08-28T00:29:34+00",1605,"CAD",0.02562929,"BTC","62623.6572","purchase",,,
"shakingsats","2020-08-28T22:33:54+00",,,0.0000011,"BTC",,"credit","61592.3448",,
"shakingsats","2020-08-29T05:05:59+00",,,0.0000012,"BTC",,"credit","60999.9076",,
"shakingsats","2020-08-30T20:50:00+00",,,0.0000013,"BTC",,"credit","61292.6693",,
"shakingsats","2020-09-03T03:29:54+00",,,0.000001,"BTC",,"credit","61531.4671",,
"purchase/sale","2020-09-03T18:34:37+00",0.02597526,"BTC",1617.95,"CAD","62288.1370","sale",,,
"fiat cashout","2020-09-04T04:24:21+00",1617.95,"CAD",,,,"debit",,"test@gmail.com",
"shakingsats","2020-09-15T20:24:12+00",,,0.000001,"BTC",,"credit","60665.2063",,
"shakingsats","2020-09-17T16:24:15+00",,,0.000001,"BTC",,"credit","60598.5610",,
"shakingsats","2020-09-23T02:18:26+00",,,0.000001,"BTC",,"credit","55732.3053",,
"shakingsats","2020-09-26T04:55:19+00",,,0.000001,"BTC",,"credit","53341.1813",,
"shakingsats","2020-09-27T04:18:32+00",,,0.0000011,"BTC",,"credit","55643.0645",,
"shakingsats","2020-09-28T04:29:22+00",,,0.0000012,"BTC",,"credit","53853.1406",,
"shakingsats","2020-09-29T22:39:55+00",,,0.0000013,"BTC",,"credit","52666.2194",,
"shakingsats","2020-09-30T08:19:06+00",,,0.0000014,"BTC",,"credit","54806.7236",,
"shakingsats","2020-10-01T07:54:33+00",,,0.0000015,"BTC",,"credit","56977.2936",,
